// Current CO | Current Unit | Result
type CO       UNIT             NUMBER
CO_EPOCH      HOVERCRAFT       1
CO_EPOCH      HOVERFLAK        1
CO_EPOCH      K_HELI           1
CO_EPOCH      LIGHT_TANK       1
CO_EPOCH      MEGATANK         1
CO_EPOCH      MISSILE          0
CO_EPOCH      MOTORBIKE        0
CO_EPOCH      NEOTANK          1
CO_EPOCH      PIPERUNNER       0
CO_EPOCH      RECON            0
CO_EPOCH      ROCKETTRHOWER    0
CO_EPOCH      SNIPER           0
CO_EPOCH      STEALTHBOMBER    1
CO_EPOCH      SUBMARINE        1
// FLAK
CO_FLAK       INFANTRY         0
CO_FLAK       MECH             0
CO_FLAK       AIRCRAFTCARRIER  0
CO_FLAK       ANTITANKCANNON   1
CO_FLAK       ARTILLERY        1
CO_FLAK       BATTLESHIP       1
CO_FLAK       BOMBER           1
CO_FLAK       CRUISER          1
CO_FLAK       DESTROYER        1
CO_FLAK       DUSTER           1
CO_FLAK       FIGHTER          1
CO_FLAK       FLAK             1
CO_FLAK       HEAVY_HOVERTANK  1
CO_FLAK       HOVERCRAFT       1
CO_FLAK       HOVERFLAK        1
CO_FLAK       K_HELI           1
CO_FLAK       LIGHT_TANK       1
CO_FLAK       MEGATANK         1
CO_FLAK       MISSILE          0
CO_FLAK       MOTORBIKE        0
CO_FLAK       NEOTANK          1
CO_FLAK       PIPERUNNER       0
CO_FLAK       RECON            0
CO_FLAK       ROCKETTRHOWER    0
CO_FLAK       SNIPER           0
CO_FLAK       STEALTHBOMBER    1
CO_FLAK       SUBMARINE        1
// GRIMM
CO_GRIMM      INFANTRY         0
CO_GRIMM      MECH             0
CO_GRIMM      AIRCRAFTCARRIER  0
CO_GRIMM      ANTITANKCANNON   1
CO_GRIMM      ARTILLERY        1
CO_GRIMM      BATTLESHIP       1
CO_GRIMM      BOMBER           1
CO_GRIMM      CRUISER          1
CO_GRIMM      DESTROYER        1
CO_GRIMM      DUSTER           1
CO_GRIMM      FIGHTER          1
CO_GRIMM      FLAK             1
CO_GRIMM      HEAVY_HOVERTANK  1
CO_GRIMM      HOVERCRAFT       1
CO_GRIMM      HOVERFLAK        1
CO_GRIMM      K_HELI           1
CO_GRIMM      LIGHT_TANK       1
CO_GRIMM      MEGATANK         1
CO_GRIMM      MISSILE          0
CO_GRIMM      MOTORBIKE        0
CO_GRIMM      NEOTANK          1
CO_GRIMM      PIPERUNNER       0
CO_GRIMM      RECON            0
CO_GRIMM      ROCKETTRHOWER    0
CO_GRIMM      SNIPER           0
CO_GRIMM      STEALTHBOMBER    1
CO_GRIMM      SUBMARINE        1
// GRIT 
CO_GRIT       INFANTRY         0
CO_GRIT       MECH             0
CO_GRIT       AIRCRAFTCARRIER  0
CO_GRIT       ANTITANKCANNON   1
CO_GRIT       ARTILLERY        1
CO_GRIT       BATTLESHIP       1
CO_GRIT       BOMBER           0
CO_GRIT       CRUISER          0
CO_GRIT       DESTROYER        0
CO_GRIT       DUSTER           0
CO_GRIT       FIGHTER          0
CO_GRIT       FLAK             0
CO_GRIT       HEAVY_HOVERTANK  0
CO_GRIT       HOVERCRAFT       0
CO_GRIT       HOVERFLAK        0
CO_GRIT       K_HELI           0
CO_GRIT       LIGHT_TANK       0
CO_GRIT       MEGATANK         0
CO_GRIT       MISSILE          0
CO_GRIT       MOTORBIKE        0
CO_GRIT       NEOTANK          0
CO_GRIT       PIPERUNNER       1
CO_GRIT       RECON            0
CO_GRIT       ROCKETTRHOWER    0
CO_GRIT       SNIPER           0
CO_GRIT       STEALTHBOMBER    0
CO_GRIT       SUBMARINE        0
// HACHI
CO_HACHI      INFANTRY         0
CO_HACHI      MECH             0
CO_HACHI      AIRCRAFTCARRIER  0
CO_HACHI      ANTITANKCANNON   1
CO_HACHI      ARTILLERY        1
CO_HACHI      BATTLESHIP       1
CO_HACHI      BOMBER           1
CO_HACHI      CRUISER          1
CO_HACHI      DESTROYER        1
CO_HACHI      DUSTER           1
CO_HACHI      FIGHTER          1
CO_HACHI      FLAK             1
CO_HACHI      HEAVY_HOVERTANK  1
CO_HACHI      HOVERCRAFT       1
CO_HACHI      HOVERFLAK        1
CO_HACHI      K_HELI           1
CO_HACHI      LIGHT_TANK       1
CO_HACHI      MEGATANK         1
CO_HACHI      MISSILE          0
CO_HACHI      MOTORBIKE        0
CO_HACHI      NEOTANK          1
CO_HACHI      PIPERUNNER       0
CO_HACHI      RECON            0
CO_HACHI      ROCKETTRHOWER    0
CO_HACHI      SNIPER           0
CO_HACHI      STEALTHBOMBER    1
CO_HACHI      SUBMARINE        1
// HAWKE
CO_HAWKE      INFANTRY         0
CO_HAWKE      MECH             0
CO_HAWKE      AIRCRAFTCARRIER  0
CO_HAWKE      ANTITANKCANNON   1
CO_HAWKE      ARTILLERY        1
CO_HAWKE      BATTLESHIP       1
CO_HAWKE      BOMBER           1
CO_HAWKE      CRUISER          1
CO_HAWKE      DESTROYER        1
CO_HAWKE      DUSTER           1
CO_HAWKE      FIGHTER          1
CO_HAWKE      FLAK             1
CO_HAWKE      HEAVY_HOVERTANK  1
CO_HAWKE      HOVERCRAFT       1
CO_HAWKE      HOVERFLAK        1
CO_HAWKE      K_HELI           1
CO_HAWKE      LIGHT_TANK       1
CO_HAWKE      MEGATANK         1
CO_HAWKE      MISSILE          0
CO_HAWKE      MOTORBIKE        0
CO_HAWKE      NEOTANK          1
CO_HAWKE      PIPERUNNER       0
CO_HAWKE      RECON            0
CO_HAWKE      ROCKETTRHOWER    0
CO_HAWKE      SNIPER           0
CO_HAWKE      STEALTHBOMBER    1
CO_HAWKE      SUBMARINE        1
// JAKE 
CO_JAKE       INFANTRY         0
CO_JAKE       MECH             0
CO_JAKE       AIRCRAFTCARRIER  0
CO_JAKE       ANTITANKCANNON   1
CO_JAKE       ARTILLERY        1
CO_JAKE       BATTLESHIP       1
CO_JAKE       BOMBER           1
CO_JAKE       CRUISER          1
CO_JAKE       DESTROYER        1
CO_JAKE       DUSTER           1
CO_JAKE       FIGHTER          1
CO_JAKE       FLAK             1
CO_JAKE       HEAVY_HOVERTANK  1
CO_JAKE       HOVERCRAFT       1
CO_JAKE       HOVERFLAK        1
CO_JAKE       K_HELI           1
CO_JAKE       LIGHT_TANK       1
CO_JAKE       MEGATANK         1
CO_JAKE       MISSILE          0
CO_JAKE       MOTORBIKE        0
CO_JAKE       NEOTANK          1
CO_JAKE       PIPERUNNER       0
CO_JAKE       RECON            0
CO_JAKE       ROCKETTRHOWER    0
CO_JAKE       SNIPER           0
CO_JAKE       STEALTHBOMBER    1
CO_JAKE       SUBMARINE        1
// JAVIER 
CO_JAVIER     INFANTRY         0
CO_JAVIER     MECH             0
CO_JAVIER     AIRCRAFTCARRIER  0
CO_JAVIER     ANTITANKCANNON   1
CO_JAVIER     ARTILLERY        1
CO_JAVIER     BATTLESHIP       1
CO_JAVIER     BOMBER           1
CO_JAVIER     CRUISER          1
CO_JAVIER     DESTROYER        1
CO_JAVIER     DUSTER           1
CO_JAVIER     FIGHTER          1
CO_JAVIER     FLAK             1
CO_JAVIER     HEAVY_HOVERTANK  1
CO_JAVIER     HOVERCRAFT       1
CO_JAVIER     HOVERFLAK        1
CO_JAVIER     K_HELI           1
CO_JAVIER     LIGHT_TANK       1
CO_JAVIER     MEGATANK         1
CO_JAVIER     MISSILE          0
CO_JAVIER     MOTORBIKE        0
CO_JAVIER     NEOTANK          1
CO_JAVIER     PIPERUNNER       0
CO_JAVIER     RECON            0
CO_JAVIER     ROCKETTRHOWER    0
CO_JAVIER     SNIPER           0
CO_JAVIER     STEALTHBOMBER    1
CO_JAVIER     SUBMARINE        1
// JESS   
CO_JESS       INFANTRY         0
CO_JESS       MECH             0
CO_JESS       AIRCRAFTCARRIER  0
CO_JESS       ANTITANKCANNON   1
CO_JESS       ARTILLERY        1
CO_JESS       BATTLESHIP       1
CO_JESS       BOMBER           1
CO_JESS       CRUISER          1
CO_JESS       DESTROYER        1
CO_JESS       DUSTER           1
CO_JESS       FIGHTER          1
CO_JESS       FLAK             1
CO_JESS       HEAVY_HOVERTANK  1
CO_JESS       HOVERCRAFT       1
CO_JESS       HOVERFLAK        1
CO_JESS       K_HELI           1
CO_JESS       LIGHT_TANK       1
CO_JESS       MEGATANK         1
CO_JESS       MISSILE          0
CO_JESS       MOTORBIKE        0
CO_JESS       NEOTANK          1
CO_JESS       PIPERUNNER       0
CO_JESS       RECON            0
CO_JESS       ROCKETTRHOWER    0
CO_JESS       SNIPER           0
CO_JESS       STEALTHBOMBER    1
CO_JESS       SUBMARINE        1
// JUGGER 
CO_JUGGER     INFANTRY         0
CO_JUGGER     MECH             0
CO_JUGGER     AIRCRAFTCARRIER  0
CO_JUGGER     ANTITANKCANNON   1
CO_JUGGER     ARTILLERY        1
CO_JUGGER     BATTLESHIP       1
CO_JUGGER     BOMBER           1
CO_JUGGER     CRUISER          1
CO_JUGGER     DESTROYER        1
CO_JUGGER     DUSTER           1
CO_JUGGER     FIGHTER          1
CO_JUGGER     FLAK             1
CO_JUGGER     HEAVY_HOVERTANK  1
CO_JUGGER     HOVERCRAFT       1
CO_JUGGER     HOVERFLAK        1
CO_JUGGER     K_HELI           1
CO_JUGGER     LIGHT_TANK       1
CO_JUGGER     MEGATANK         1
CO_JUGGER     MISSILE          0
CO_JUGGER     MOTORBIKE        0
CO_JUGGER     NEOTANK          1
CO_JUGGER     PIPERUNNER       0
CO_JUGGER     RECON            0
CO_JUGGER     ROCKETTRHOWER    0
CO_JUGGER     SNIPER           0
CO_JUGGER     STEALTHBOMBER    1
CO_JUGGER     SUBMARINE        1
// KANBEI 
CO_KANBEI     INFANTRY         0
CO_KANBEI     MECH             0
CO_KANBEI     AIRCRAFTCARRIER  0
CO_KANBEI     ANTITANKCANNON   1
CO_KANBEI     ARTILLERY        1
CO_KANBEI     BATTLESHIP       1
CO_KANBEI     BOMBER           1
CO_KANBEI     CRUISER          1
CO_KANBEI     DESTROYER        1
CO_KANBEI     DUSTER           1
CO_KANBEI     FIGHTER          1
CO_KANBEI     FLAK             1
CO_KANBEI     HEAVY_HOVERTANK  1
CO_KANBEI     HOVERCRAFT       1
CO_KANBEI     HOVERFLAK        1
CO_KANBEI     K_HELI           1
CO_KANBEI     LIGHT_TANK       1
CO_KANBEI     MEGATANK         1
CO_KANBEI     MISSILE          0
CO_KANBEI     MOTORBIKE        0
CO_KANBEI     NEOTANK          1
CO_KANBEI     PIPERUNNER       0
CO_KANBEI     RECON            0
CO_KANBEI     ROCKETTRHOWER    0
CO_KANBEI     SNIPER           0
CO_KANBEI     STEALTHBOMBER    1
CO_KANBEI     SUBMARINE        1
// KINDLE 
CO_KINDLE     INFANTRY         0
CO_KINDLE     MECH             0
CO_KINDLE     AIRCRAFTCARRIER  0
CO_KINDLE     ANTITANKCANNON   1
CO_KINDLE     ARTILLERY        1
CO_KINDLE     BATTLESHIP       1
CO_KINDLE     BOMBER           1
CO_KINDLE     CRUISER          1
CO_KINDLE     DESTROYER        1
CO_KINDLE     DUSTER           1
CO_KINDLE     FIGHTER          1
CO_KINDLE     FLAK             1
CO_KINDLE     HEAVY_HOVERTANK  1
CO_KINDLE     HOVERCRAFT       1
CO_KINDLE     HOVERFLAK        1
CO_KINDLE     K_HELI           1
CO_KINDLE     LIGHT_TANK       1
CO_KINDLE     MEGATANK         1
CO_KINDLE     MISSILE          0
CO_KINDLE     MOTORBIKE        0
CO_KINDLE     NEOTANK          1
CO_KINDLE     PIPERUNNER       0
CO_KINDLE     RECON            0
CO_KINDLE     ROCKETTRHOWER    0
CO_KINDLE     SNIPER           0
CO_KINDLE     STEALTHBOMBER    1
CO_KINDLE     SUBMARINE        1
// KOAL 
CO_KOAL       INFANTRY         0
CO_KOAL       MECH             0
CO_KOAL       AIRCRAFTCARRIER  0
CO_KOAL       ANTITANKCANNON   1
CO_KOAL       ARTILLERY        1
CO_KOAL       BATTLESHIP       1
CO_KOAL       BOMBER           1
CO_KOAL       CRUISER          1
CO_KOAL       DESTROYER        1
CO_KOAL       DUSTER           1
CO_KOAL       FIGHTER          1
CO_KOAL       FLAK             1
CO_KOAL       HEAVY_HOVERTANK  1
CO_KOAL       HOVERCRAFT       1
CO_KOAL       HOVERFLAK        1
CO_KOAL       K_HELI           1
CO_KOAL       LIGHT_TANK       1
CO_KOAL       MEGATANK         1
CO_KOAL       MISSILE          0
CO_KOAL       MOTORBIKE        0
CO_KOAL       NEOTANK          1
CO_KOAL       PIPERUNNER       0
CO_KOAL       RECON            0
CO_KOAL       ROCKETTRHOWER    0
CO_KOAL       SNIPER           0
CO_KOAL       STEALTHBOMBER    1
CO_KOAL       SUBMARINE        1
// LASH 
CO_LASH       INFANTRY         0
CO_LASH       MECH             0
CO_LASH       AIRCRAFTCARRIER  0
CO_LASH       ANTITANKCANNON   1
CO_LASH       ARTILLERY        1
CO_LASH       BATTLESHIP       1
CO_LASH       BOMBER           1
CO_LASH       CRUISER          1
CO_LASH       DESTROYER        1
CO_LASH       DUSTER           1
CO_LASH       FIGHTER          1
CO_LASH       FLAK             1
CO_LASH       HEAVY_HOVERTANK  1
CO_LASH       HOVERCRAFT       1
CO_LASH       HOVERFLAK        1
CO_LASH       K_HELI           1
CO_LASH       LIGHT_TANK       1
CO_LASH       MEGATANK         1
CO_LASH       MISSILE          0
CO_LASH       MOTORBIKE        0
CO_LASH       NEOTANK          1
CO_LASH       PIPERUNNER       0
CO_LASH       RECON            0
CO_LASH       ROCKETTRHOWER    0
CO_LASH       SNIPER           0
CO_LASH       STEALTHBOMBER    1
CO_LASH       SUBMARINE        1
// MAX 
CO_MAX        INFANTRY         0
CO_MAX        MECH             0
CO_MAX        AIRCRAFTCARRIER  0
CO_MAX        ANTITANKCANNON   0
CO_MAX        ARTILLERY        0
CO_MAX        BATTLESHIP       0
CO_MAX        BOMBER           1
CO_MAX        CRUISER          1
CO_MAX        DESTROYER        1
CO_MAX        DUSTER           1
CO_MAX        FIGHTER          1
CO_MAX        FLAK             1
CO_MAX        HEAVY_HOVERTANK  1
CO_MAX        HOVERCRAFT       1
CO_MAX        HOVERFLAK        1
CO_MAX        K_HELI           1
CO_MAX        LIGHT_TANK       1
CO_MAX        MEGATANK         1
CO_MAX        MISSILE          0
CO_MAX        MOTORBIKE        0
CO_MAX        NEOTANK          1
CO_MAX        PIPERUNNER       0
CO_MAX        RECON            0
CO_MAX        ROCKETTRHOWER    0
CO_MAX        SNIPER           0
CO_MAX        STEALTHBOMBER    1
CO_MAX        SUBMARINE        1
// NAPOLEON 
CO_NAPOLEON   INFANTRY         0
CO_NAPOLEON   MECH             0
CO_NAPOLEON   AIRCRAFTCARRIER  0
CO_NAPOLEON   ANTITANKCANNON   1
CO_NAPOLEON   ARTILLERY        1
CO_NAPOLEON   BATTLESHIP       1
CO_NAPOLEON   BOMBER           1
CO_NAPOLEON   CRUISER          1
CO_NAPOLEON   DESTROYER        1
CO_NAPOLEON   DUSTER           1
CO_NAPOLEON   FIGHTER          1
CO_NAPOLEON   FLAK             1
CO_NAPOLEON   HEAVY_HOVERTANK  1
CO_NAPOLEON   HOVERCRAFT       1
CO_NAPOLEON   HOVERFLAK        1
CO_NAPOLEON   K_HELI           1
CO_NAPOLEON   LIGHT_TANK       1
CO_NAPOLEON   MEGATANK         1
CO_NAPOLEON   MISSILE          0
CO_NAPOLEON   MOTORBIKE        0
CO_NAPOLEON   NEOTANK          1
CO_NAPOLEON   PIPERUNNER       0
CO_NAPOLEON   RECON            0
CO_NAPOLEON   ROCKETTRHOWER    0
CO_NAPOLEON   SNIPER           0
CO_NAPOLEON   STEALTHBOMBER    1
CO_NAPOLEON   SUBMARINE        1
// NELL 
CO_NELL       INFANTRY         0
CO_NELL       MECH             0
CO_NELL       AIRCRAFTCARRIER  0
CO_NELL       ANTITANKCANNON   1
CO_NELL       ARTILLERY        1
CO_NELL       BATTLESHIP       1
CO_NELL       BOMBER           1
CO_NELL       CRUISER          1
CO_NELL       DESTROYER        1
CO_NELL       DUSTER           1
CO_NELL       FIGHTER          1
CO_NELL       FLAK             1
CO_NELL       HEAVY_HOVERTANK  1
CO_NELL       HOVERCRAFT       1
CO_NELL       HOVERFLAK        1
CO_NELL       K_HELI           1
CO_NELL       LIGHT_TANK       1
CO_NELL       MEGATANK         1
CO_NELL       MISSILE          0
CO_NELL       MOTORBIKE        0
CO_NELL       NEOTANK          1
CO_NELL       PIPERUNNER       0
CO_NELL       RECON            0
CO_NELL       ROCKETTRHOWER    0
CO_NELL       SNIPER           0
CO_NELL       STEALTHBOMBER    1
CO_NELL       SUBMARINE        1
// OLAF 
CO_OLAF       INFANTRY         0
CO_OLAF       MECH             0
CO_OLAF       AIRCRAFTCARRIER  0
CO_OLAF       ANTITANKCANNON   1
CO_OLAF       ARTILLERY        1
CO_OLAF       BATTLESHIP       1
CO_OLAF       BOMBER           1
CO_OLAF       CRUISER          1
CO_OLAF       DESTROYER        1
CO_OLAF       DUSTER           1
CO_OLAF       FIGHTER          1
CO_OLAF       FLAK             1
CO_OLAF       HEAVY_HOVERTANK  1
CO_OLAF       HOVERCRAFT       1
CO_OLAF       HOVERFLAK        1
CO_OLAF       K_HELI           1
CO_OLAF       LIGHT_TANK       1
CO_OLAF       MEGATANK         1
CO_OLAF       MISSILE          0
CO_OLAF       MOTORBIKE        0
CO_OLAF       NEOTANK          1
CO_OLAF       PIPERUNNER       0
CO_OLAF       RECON            0
CO_OLAF       ROCKETTRHOWER    0
CO_OLAF       SNIPER           0
CO_OLAF       STEALTHBOMBER    1
CO_OLAF       SUBMARINE        1
// RACHEL 
CO_RACHEL     INFANTRY         0
CO_RACHEL     MECH             0
CO_RACHEL     AIRCRAFTCARRIER  0
CO_RACHEL     ANTITANKCANNON   1
CO_RACHEL     ARTILLERY        1
CO_RACHEL     BATTLESHIP       1
CO_RACHEL     BOMBER           1
CO_RACHEL     CRUISER          1
CO_RACHEL     DESTROYER        1
CO_RACHEL     DUSTER           1
CO_RACHEL     FIGHTER          1
CO_RACHEL     FLAK             1
CO_RACHEL     HEAVY_HOVERTANK  1
CO_RACHEL     HOVERCRAFT       1
CO_RACHEL     HOVERFLAK        1
CO_RACHEL     K_HELI           1
CO_RACHEL     LIGHT_TANK       1
CO_RACHEL     MEGATANK         1
CO_RACHEL     MISSILE          0
CO_RACHEL     MOTORBIKE        0
CO_RACHEL     NEOTANK          1
CO_RACHEL     PIPERUNNER       0
CO_RACHEL     RECON            0
CO_RACHEL     ROCKETTRHOWER    0
CO_RACHEL     SNIPER           0
CO_RACHEL     STEALTHBOMBER    1
CO_RACHEL     SUBMARINE        1
// ROBOANDY 
CO_ROBOANDY   INFANTRY         0
CO_ROBOANDY   MECH             0
CO_ROBOANDY   AIRCRAFTCARRIER  0
CO_ROBOANDY   ANTITANKCANNON   1
CO_ROBOANDY   ARTILLERY        1
CO_ROBOANDY   BATTLESHIP       1
CO_ROBOANDY   BOMBER           1
CO_ROBOANDY   CRUISER          1
CO_ROBOANDY   DESTROYER        1
CO_ROBOANDY   DUSTER           1
CO_ROBOANDY   FIGHTER          1
CO_ROBOANDY   FLAK             1
CO_ROBOANDY   HEAVY_HOVERTANK  1
CO_ROBOANDY   HOVERCRAFT       1
CO_ROBOANDY   HOVERFLAK        1
CO_ROBOANDY   K_HELI           1
CO_ROBOANDY   LIGHT_TANK       1
CO_ROBOANDY   MEGATANK         1
CO_ROBOANDY   MISSILE          0
CO_ROBOANDY   MOTORBIKE        0
CO_ROBOANDY   NEOTANK          1
CO_ROBOANDY   PIPERUNNER       0
CO_ROBOANDY   RECON            0
CO_ROBOANDY   ROCKETTRHOWER    0
CO_ROBOANDY   SNIPER           0
CO_ROBOANDY   STEALTHBOMBER    1
CO_ROBOANDY   SUBMARINE        1
// ROBOSTURM 
CO_ROBOSTURM  INFANTRY         0
CO_ROBOSTURM  MECH             0
CO_ROBOSTURM  AIRCRAFTCARRIER  0
CO_ROBOSTURM  ANTITANKCANNON   1
CO_ROBOSTURM  ARTILLERY        1
CO_ROBOSTURM  BATTLESHIP       1
CO_ROBOSTURM  BOMBER           1
CO_ROBOSTURM  CRUISER          1
CO_ROBOSTURM  DESTROYER        1
CO_ROBOSTURM  DUSTER           1
CO_ROBOSTURM  FIGHTER          1
CO_ROBOSTURM  FLAK             1
CO_ROBOSTURM  HEAVY_HOVERTANK  1
CO_ROBOSTURM  HOVERCRAFT       1
CO_ROBOSTURM  HOVERFLAK        1
CO_ROBOSTURM  K_HELI           1
CO_ROBOSTURM  LIGHT_TANK       1
CO_ROBOSTURM  MEGATANK         1
CO_ROBOSTURM  MISSILE          0
CO_ROBOSTURM  MOTORBIKE        0
CO_ROBOSTURM  NEOTANK          1
CO_ROBOSTURM  PIPERUNNER       0
CO_ROBOSTURM  RECON            0
CO_ROBOSTURM  ROCKETTRHOWER    0
CO_ROBOSTURM  SNIPER           0
CO_ROBOSTURM  STEALTHBOMBER    1
CO_ROBOSTURM  SUBMARINE        1
// SAMI 
CO_SAMI       INFANTRY         1
CO_SAMI       MECH             1
CO_SAMI       AIRCRAFTCARRIER  0
CO_SAMI       ANTITANKCANNON   0
CO_SAMI       ARTILLERY        0
CO_SAMI       BATTLESHIP       0
CO_SAMI       BOMBER           0
CO_SAMI       CRUISER          0
CO_SAMI       DESTROYER        0
CO_SAMI       DUSTER           0
CO_SAMI       FIGHTER          0
CO_SAMI       FLAK             0
CO_SAMI       HEAVY_HOVERTANK  0
CO_SAMI       HOVERCRAFT       0
CO_SAMI       HOVERFLAK        0
CO_SAMI       K_HELI           0
CO_SAMI       LIGHT_TANK       0
CO_SAMI       MEGATANK         0
CO_SAMI       MISSILE          0
CO_SAMI       MOTORBIKE        0
CO_SAMI       NEOTANK          0
CO_SAMI       PIPERUNNER       0
CO_SAMI       RECON            0
CO_SAMI       ROCKETTRHOWER    0
CO_SAMI       SNIPER           1
CO_SAMI       STEALTHBOMBER    0
CO_SAMI       SUBMARINE        0
// SASHA 
CO_SASHA      INFANTRY         0
CO_SASHA      MECH             0
CO_SASHA      AIRCRAFTCARRIER  0
CO_SASHA      ANTITANKCANNON   1
CO_SASHA      ARTILLERY        1
CO_SASHA      BATTLESHIP       1
CO_SASHA      BOMBER           1
